variant,point_type,point_index,m,ml,efc,efs,recall_cached,csr,prefetch,simd,pruning,heap,flat_index,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
baseline,uniform_00,1,2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_00_m2025-12-02T02:29:23.875485_mlhnsw_constrained_v4_efc10_efs61/baseline/run_stdout_1.log,1
no_csr,uniform_00,1,2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_00_m2025-12-02T02:29:23.875485_mlhnsw_constrained_v4_efc10_efs61/no_csr/run_stdout_1.log,1
no_prefetch,uniform_00,1,2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_00_m2025-12-02T02:29:23.875485_mlhnsw_constrained_v4_efc10_efs61/no_prefetch/run_stdout_1.log,1
no_simd,uniform_00,1,2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_00_m2025-12-02T02:29:23.875485_mlhnsw_constrained_v4_efc10_efs61/no_simd/run_stdout_1.log,1
no_pruning,uniform_00,1,2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_00_m2025-12-02T02:29:23.875485_mlhnsw_constrained_v4_efc10_efs61/no_pruning/run_stdout_1.log,1
heap,uniform_00,1,2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_00_m2025-12-02T02:29:23.875485_mlhnsw_constrained_v4_efc10_efs61/heap/run_stdout_1.log,1
dynamic_struct,uniform_00,1,2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_00_m2025-12-02T02:29:23.875485_mlhnsw_constrained_v4_efc10_efs61/dynamic_struct/run_stdout_1.log,1
nothing,uniform_00,1,2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_00_m2025-12-02T02:29:23.875485_mlhnsw_constrained_v4_efc10_efs61/nothing/run_stdout_1.log,1
baseline,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/baseline/run_stdout_1.log,1
no_csr,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/no_csr/run_stdout_1.log,1
no_prefetch,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/no_prefetch/run_stdout_1.log,1
no_simd,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/no_simd/run_stdout_1.log,1
no_pruning,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/no_pruning/run_stdout_1.log,1
heap,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/heap/run_stdout_1.log,1
dynamic_struct,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/dynamic_struct/run_stdout_1.log,1
nothing,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/nothing/run_stdout_1.log,1
baseline,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/baseline/run_stdout_1.log,1
no_csr,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/no_csr/run_stdout_1.log,1
no_prefetch,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/no_prefetch/run_stdout_1.log,1
no_simd,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/no_simd/run_stdout_1.log,1
no_pruning,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/no_pruning/run_stdout_1.log,1
heap,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/heap/run_stdout_1.log,1
dynamic_struct,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/dynamic_struct/run_stdout_1.log,1
nothing,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/nothing/run_stdout_1.log,1
baseline,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/baseline/run_stdout_1.log,1
no_csr,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/no_csr/run_stdout_1.log,1
no_prefetch,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/no_prefetch/run_stdout_1.log,1
no_simd,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/no_simd/run_stdout_1.log,1
no_pruning,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/no_pruning/run_stdout_1.log,1
heap,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/heap/run_stdout_1.log,1
dynamic_struct,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/dynamic_struct/run_stdout_1.log,1
nothing,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131258/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/nothing/run_stdout_1.log,1
