STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c4096_i16_p1024,4096,16,1024,TIMEOUT,844.22,NA,NA,NA
c3706_i18_p1132,3706,18,1132,OK,NA,0.9935,21.93,412.0
c4527_i14_p927,4527,14,927,OK,NA,0.9865,13.55,448.0
c8192_i1_p4,8192,1,4,OK,NA,0.4934,1.66,456.0
c3706_i18_p927,3706,18,927,OK,NA,0.9903,15.7,421.0
c4527_i14_p1132,4527,14,1132,OK,NA,0.99,17.66,442.0
c32_i64_p4,32,64,4,OK,NA,0.8979,19.97,13.0
c3731_i15_p933,3731,15,933,OK,NA,0.9899,18.56,379.0
c4497_i18_p1124,4497,18,1124,OK,NA,0.9905,16.07,495.0
c8192_i64_p2048,8192,64,2048,TIMEOUT,NA,NA,NA,NA
c4497_i4_p933,4497,4,933,OK,NA,0.9849,10.15,300.0
c3731_i4_p1124,3731,4,1124,OK,NA,0.9924,21.0,236.0
c4480_i4_p1120,4480,4,1120,OK,NA,0.9899,14.53,284.0
c3745_i4_p936,3745,4,936,OK,NA,0.9891,13.8,238.0
c773_i4_p193,773,4,193,OK,NA,0.9783,17.84,49.0
c709_i4_p211,709,4,211,OK,NA,0.9843,19.95,44.0
c843_i4_p177,843,4,177,OK,NA,0.9743,12.79,54.0
c710_i4_p210,710,4,210,OK,NA,0.9842,20.78,44.0
c842_i4_p177,842,4,177,OK,NA,0.9742,12.31,54.0
c711_i4_p178,711,4,178,OK,NA,0.9782,16.42,43.0
c840_i4_p210,840,4,210,OK,NA,0.9812,18.22,52.0
c712_i4_p178,712,4,178,OK,NA,0.9784,15.24,45.0
c839_i4_p210,839,4,210,OK,NA,0.981,16.84,52.0
c838_i4_p178,838,4,178,OK,NA,0.974,15.38,52.0
c713_i4_p210,713,4,210,OK,NA,0.9841,16.08,45.0
c713_i4_p178,713,4,178,OK,NA,0.9782,18.06,44.0
c838_i4_p209,838,4,209,OK,NA,0.9808,18.43,52.0
c714_i4_p209,714,4,209,OK,NA,0.9838,19.05,46.0
c837_i4_p179,837,4,179,OK,NA,0.9749,13.77,52.0
c715_i4_p179,715,4,179,OK,NA,0.9782,16.56,44.0
c836_i4_p209,836,4,209,OK,NA,0.9813,16.24,54.0
c835_i4_p179,835,4,179,OK,NA,0.975,13.89,52.0
c716_i4_p209,716,4,209,OK,NA,0.9836,20.29,46.0
c32_i4_p2048,32,4,2048,OK,NA,1.0,69.3,2.0
c35_i4_p2048,35,4,2048,COMPILE_FAIL,NA,NA,NA,NA
c32_i4_p1897,32,4,1897,COMPILE_FAIL,NA,NA,NA,NA
c35_i4_p1898,35,4,1898,COMPILE_FAIL,NA,NA,NA,NA
c35_i4_p1899,35,4,1899,COMPILE_FAIL,NA,NA,NA,NA
c32_i4_p1899,32,4,1899,COMPILE_FAIL,NA,NA,NA,NA
c34_i4_p1900,34,4,1900,COMPILE_FAIL,NA,NA,NA,NA
c34_i4_p1901,34,4,1901,COMPILE_FAIL,NA,NA,NA,NA
c34_i4_p1902,34,4,1902,COMPILE_FAIL,NA,NA,NA,NA
c32_i4_p1902,32,4,1902,COMPILE_FAIL,NA,NA,NA,NA
c34_i4_p2048,34,4,2048,COMPILE_FAIL,NA,NA,NA,NA
c32_i4_p1903,32,4,1903,COMPILE_FAIL,NA,NA,NA,NA
c34_i4_p1904,34,4,1904,COMPILE_FAIL,NA,NA,NA,NA
c32_i4_p1905,32,4,1905,COMPILE_FAIL,NA,NA,NA,NA
