variant,point_type,point_index,m,ml,efc,efs,recall_cached,csr,prefetch,simd,pruning,heap,flat_index,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
no_pruning,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/no_pruning/run_stdout_1.log,1
heap,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/heap/run_stdout_1.log,1
dynamic_struct,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/dynamic_struct/run_stdout_1.log,1
nothing,uniform_01,2,2025-12-03T05:05:14.817056,efs_search,-1,47,16,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_01_m2025-12-03T05:05:14.817056_mlefs_search_efc-1_efs47/nothing/run_stdout_1.log,1
baseline,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/baseline/run_stdout_1.log,1
no_csr,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/no_csr/run_stdout_1.log,1
no_prefetch,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/no_prefetch/run_stdout_1.log,1
no_simd,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/no_simd/run_stdout_1.log,1
no_pruning,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/no_pruning/run_stdout_1.log,1
heap,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/heap/run_stdout_1.log,1
dynamic_struct,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/dynamic_struct/run_stdout_1.log,1
nothing,uniform_02,3,2025-12-02T09:09:14.607360,hnsw_cmaes_v5,38,48,11,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_02_m2025-12-02T09:09:14.607360_mlhnsw_cmaes_v5_efc38_efs48/nothing/run_stdout_1.log,1
baseline,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/baseline/run_stdout_1.log,1
no_csr,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/no_csr/run_stdout_1.log,1
no_prefetch,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/no_prefetch/run_stdout_1.log,1
no_simd,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/no_simd/run_stdout_1.log,1
no_pruning,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/no_pruning/run_stdout_1.log,1
heap,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/heap/run_stdout_1.log,1
dynamic_struct,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/dynamic_struct/run_stdout_1.log,1
nothing,uniform_03,4,2025-12-02T23:56:43.516821,efs_search,-1,38,10,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_03_m2025-12-02T23:56:43.516821_mlefs_search_efc-1_efs38/nothing/run_stdout_1.log,1
baseline,uniform_04,5,2025-12-02T13:58:34.602085,hnsw_cmaes_v5,60,49,8,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_04_m2025-12-02T13:58:34.602085_mlhnsw_cmaes_v5_efc60_efs49/baseline/run_stdout_1.log,1
no_csr,uniform_04,5,2025-12-02T13:58:34.602085,hnsw_cmaes_v5,60,49,8,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_04_m2025-12-02T13:58:34.602085_mlhnsw_cmaes_v5_efc60_efs49/no_csr/run_stdout_1.log,1
no_prefetch,uniform_04,5,2025-12-02T13:58:34.602085,hnsw_cmaes_v5,60,49,8,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_04_m2025-12-02T13:58:34.602085_mlhnsw_cmaes_v5_efc60_efs49/no_prefetch/run_stdout_1.log,1
no_simd,uniform_04,5,2025-12-02T13:58:34.602085,hnsw_cmaes_v5,60,49,8,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_04_m2025-12-02T13:58:34.602085_mlhnsw_cmaes_v5_efc60_efs49/no_simd/run_stdout_1.log,1
no_pruning,uniform_04,5,2025-12-02T13:58:34.602085,hnsw_cmaes_v5,60,49,8,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_04_m2025-12-02T13:58:34.602085_mlhnsw_cmaes_v5_efc60_efs49/no_pruning/run_stdout_1.log,1
heap,uniform_04,5,2025-12-02T13:58:34.602085,hnsw_cmaes_v5,60,49,8,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_04_m2025-12-02T13:58:34.602085_mlhnsw_cmaes_v5_efc60_efs49/heap/run_stdout_1.log,1
dynamic_struct,uniform_04,5,2025-12-02T13:58:34.602085,hnsw_cmaes_v5,60,49,8,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_04_m2025-12-02T13:58:34.602085_mlhnsw_cmaes_v5_efc60_efs49/dynamic_struct/run_stdout_1.log,1
nothing,uniform_04,5,2025-12-02T13:58:34.602085,hnsw_cmaes_v5,60,49,8,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_04_m2025-12-02T13:58:34.602085_mlhnsw_cmaes_v5_efc60_efs49/nothing/run_stdout_1.log,1
baseline,uniform_05,6,2025-12-02T21:00:38.081000,efs_optimization,-1,51,7,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_05_m2025-12-02T21:00:38.081000_mlefs_optimization_efc-1_efs51/baseline/run_stdout_1.log,1
no_csr,uniform_05,6,2025-12-02T21:00:38.081000,efs_optimization,-1,51,7,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_05_m2025-12-02T21:00:38.081000_mlefs_optimization_efc-1_efs51/no_csr/run_stdout_1.log,1
no_prefetch,uniform_05,6,2025-12-02T21:00:38.081000,efs_optimization,-1,51,7,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_05_m2025-12-02T21:00:38.081000_mlefs_optimization_efc-1_efs51/no_prefetch/run_stdout_1.log,1
no_simd,uniform_05,6,2025-12-02T21:00:38.081000,efs_optimization,-1,51,7,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_05_m2025-12-02T21:00:38.081000_mlefs_optimization_efc-1_efs51/no_simd/run_stdout_1.log,1
no_pruning,uniform_05,6,2025-12-02T21:00:38.081000,efs_optimization,-1,51,7,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_05_m2025-12-02T21:00:38.081000_mlefs_optimization_efc-1_efs51/no_pruning/run_stdout_1.log,1
heap,uniform_05,6,2025-12-02T21:00:38.081000,efs_optimization,-1,51,7,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_05_m2025-12-02T21:00:38.081000_mlefs_optimization_efc-1_efs51/heap/run_stdout_1.log,1
dynamic_struct,uniform_05,6,2025-12-02T21:00:38.081000,efs_optimization,-1,51,7,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_05_m2025-12-02T21:00:38.081000_mlefs_optimization_efc-1_efs51/dynamic_struct/run_stdout_1.log,1
nothing,uniform_05,6,2025-12-02T21:00:38.081000,efs_optimization,-1,51,7,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_05_m2025-12-02T21:00:38.081000_mlefs_optimization_efc-1_efs51/nothing/run_stdout_1.log,1
baseline,uniform_06,7,2025-12-03T09:24:13.805601,efs_search,-1,29,7,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_06_m2025-12-03T09:24:13.805601_mlefs_search_efc-1_efs29/baseline/run_stdout_1.log,1
no_csr,uniform_06,7,2025-12-03T09:24:13.805601,efs_search,-1,29,7,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_06_m2025-12-03T09:24:13.805601_mlefs_search_efc-1_efs29/no_csr/run_stdout_1.log,1
no_prefetch,uniform_06,7,2025-12-03T09:24:13.805601,efs_search,-1,29,7,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_06_m2025-12-03T09:24:13.805601_mlefs_search_efc-1_efs29/no_prefetch/run_stdout_1.log,1
no_simd,uniform_06,7,2025-12-03T09:24:13.805601,efs_search,-1,29,7,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_06_m2025-12-03T09:24:13.805601_mlefs_search_efc-1_efs29/no_simd/run_stdout_1.log,1
no_pruning,uniform_06,7,2025-12-03T09:24:13.805601,efs_search,-1,29,7,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_06_m2025-12-03T09:24:13.805601_mlefs_search_efc-1_efs29/no_pruning/run_stdout_1.log,1
heap,uniform_06,7,2025-12-03T09:24:13.805601,efs_search,-1,29,7,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_06_m2025-12-03T09:24:13.805601_mlefs_search_efc-1_efs29/heap/run_stdout_1.log,1
dynamic_struct,uniform_06,7,2025-12-03T09:24:13.805601,efs_search,-1,29,7,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_06_m2025-12-03T09:24:13.805601_mlefs_search_efc-1_efs29/dynamic_struct/run_stdout_1.log,1
nothing,uniform_06,7,2025-12-03T09:24:13.805601,efs_search,-1,29,7,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_06_m2025-12-03T09:24:13.805601_mlefs_search_efc-1_efs29/nothing/run_stdout_1.log,1
baseline,uniform_07,8,2025-12-03T04:04:56.063308,efs_search,-1,39,6,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_07_m2025-12-03T04:04:56.063308_mlefs_search_efc-1_efs39/baseline/run_stdout_1.log,1
no_csr,uniform_07,8,2025-12-03T04:04:56.063308,efs_search,-1,39,6,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_07_m2025-12-03T04:04:56.063308_mlefs_search_efc-1_efs39/no_csr/run_stdout_1.log,1
no_prefetch,uniform_07,8,2025-12-03T04:04:56.063308,efs_search,-1,39,6,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_07_m2025-12-03T04:04:56.063308_mlefs_search_efc-1_efs39/no_prefetch/run_stdout_1.log,1
no_simd,uniform_07,8,2025-12-03T04:04:56.063308,efs_search,-1,39,6,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_07_m2025-12-03T04:04:56.063308_mlefs_search_efc-1_efs39/no_simd/run_stdout_1.log,1
no_pruning,uniform_07,8,2025-12-03T04:04:56.063308,efs_search,-1,39,6,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_07_m2025-12-03T04:04:56.063308_mlefs_search_efc-1_efs39/no_pruning/run_stdout_1.log,1
heap,uniform_07,8,2025-12-03T04:04:56.063308,efs_search,-1,39,6,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_07_m2025-12-03T04:04:56.063308_mlefs_search_efc-1_efs39/heap/run_stdout_1.log,1
dynamic_struct,uniform_07,8,2025-12-03T04:04:56.063308,efs_search,-1,39,6,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_07_m2025-12-03T04:04:56.063308_mlefs_search_efc-1_efs39/dynamic_struct/run_stdout_1.log,1
nothing,uniform_07,8,2025-12-03T04:04:56.063308,efs_search,-1,39,6,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_07_m2025-12-03T04:04:56.063308_mlefs_search_efc-1_efs39/nothing/run_stdout_1.log,1
baseline,uniform_08,9,2025-12-03T08:29:38.014235,efs_search,-1,35,6,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_08_m2025-12-03T08:29:38.014235_mlefs_search_efc-1_efs35/baseline/run_stdout_1.log,1
no_csr,uniform_08,9,2025-12-03T08:29:38.014235,efs_search,-1,35,6,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_08_m2025-12-03T08:29:38.014235_mlefs_search_efc-1_efs35/no_csr/run_stdout_1.log,1
no_prefetch,uniform_08,9,2025-12-03T08:29:38.014235,efs_search,-1,35,6,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_08_m2025-12-03T08:29:38.014235_mlefs_search_efc-1_efs35/no_prefetch/run_stdout_1.log,1
no_simd,uniform_08,9,2025-12-03T08:29:38.014235,efs_search,-1,35,6,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_08_m2025-12-03T08:29:38.014235_mlefs_search_efc-1_efs35/no_simd/run_stdout_1.log,1
no_pruning,uniform_08,9,2025-12-03T08:29:38.014235,efs_search,-1,35,6,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_08_m2025-12-03T08:29:38.014235_mlefs_search_efc-1_efs35/no_pruning/run_stdout_1.log,1
heap,uniform_08,9,2025-12-03T08:29:38.014235,efs_search,-1,35,6,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_08_m2025-12-03T08:29:38.014235_mlefs_search_efc-1_efs35/heap/run_stdout_1.log,1
dynamic_struct,uniform_08,9,2025-12-03T08:29:38.014235,efs_search,-1,35,6,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_08_m2025-12-03T08:29:38.014235_mlefs_search_efc-1_efs35/dynamic_struct/run_stdout_1.log,1
nothing,uniform_08,9,2025-12-03T08:29:38.014235,efs_search,-1,35,6,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_08_m2025-12-03T08:29:38.014235_mlefs_search_efc-1_efs35/nothing/run_stdout_1.log,1
baseline,uniform_09,10,2025-12-03T01:45:49.546896,efs_search,-1,39,4,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_09_m2025-12-03T01:45:49.546896_mlefs_search_efc-1_efs39/baseline/run_stdout_1.log,1
no_csr,uniform_09,10,2025-12-03T01:45:49.546896,efs_search,-1,39,4,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_09_m2025-12-03T01:45:49.546896_mlefs_search_efc-1_efs39/no_csr/run_stdout_1.log,1
no_prefetch,uniform_09,10,2025-12-03T01:45:49.546896,efs_search,-1,39,4,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_09_m2025-12-03T01:45:49.546896_mlefs_search_efc-1_efs39/no_prefetch/run_stdout_1.log,1
no_simd,uniform_09,10,2025-12-03T01:45:49.546896,efs_search,-1,39,4,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_09_m2025-12-03T01:45:49.546896_mlefs_search_efc-1_efs39/no_simd/run_stdout_1.log,1
no_pruning,uniform_09,10,2025-12-03T01:45:49.546896,efs_search,-1,39,4,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_09_m2025-12-03T01:45:49.546896_mlefs_search_efc-1_efs39/no_pruning/run_stdout_1.log,1
heap,uniform_09,10,2025-12-03T01:45:49.546896,efs_search,-1,39,4,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_09_m2025-12-03T01:45:49.546896_mlefs_search_efc-1_efs39/heap/run_stdout_1.log,1
dynamic_struct,uniform_09,10,2025-12-03T01:45:49.546896,efs_search,-1,39,4,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_09_m2025-12-03T01:45:49.546896_mlefs_search_efc-1_efs39/dynamic_struct/run_stdout_1.log,1
nothing,uniform_09,10,2025-12-03T01:45:49.546896,efs_search,-1,39,4,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/uniform_09_m2025-12-03T01:45:49.546896_mlefs_search_efc-1_efs39/nothing/run_stdout_1.log,1
baseline,random_00,11,2025-12-03T07:57:13.704779,hnsw_graph_opt_v1,108,33,17,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_00_m2025-12-03T07:57:13.704779_mlhnsw_graph_opt_v1_efc108_efs33/baseline/run_stdout_1.log,1
no_csr,random_00,11,2025-12-03T07:57:13.704779,hnsw_graph_opt_v1,108,33,17,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_00_m2025-12-03T07:57:13.704779_mlhnsw_graph_opt_v1_efc108_efs33/no_csr/run_stdout_1.log,1
no_prefetch,random_00,11,2025-12-03T07:57:13.704779,hnsw_graph_opt_v1,108,33,17,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_00_m2025-12-03T07:57:13.704779_mlhnsw_graph_opt_v1_efc108_efs33/no_prefetch/run_stdout_1.log,1
no_simd,random_00,11,2025-12-03T07:57:13.704779,hnsw_graph_opt_v1,108,33,17,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_00_m2025-12-03T07:57:13.704779_mlhnsw_graph_opt_v1_efc108_efs33/no_simd/run_stdout_1.log,1
no_pruning,random_00,11,2025-12-03T07:57:13.704779,hnsw_graph_opt_v1,108,33,17,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_00_m2025-12-03T07:57:13.704779_mlhnsw_graph_opt_v1_efc108_efs33/no_pruning/run_stdout_1.log,1
heap,random_00,11,2025-12-03T07:57:13.704779,hnsw_graph_opt_v1,108,33,17,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_00_m2025-12-03T07:57:13.704779_mlhnsw_graph_opt_v1_efc108_efs33/heap/run_stdout_1.log,1
dynamic_struct,random_00,11,2025-12-03T07:57:13.704779,hnsw_graph_opt_v1,108,33,17,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_00_m2025-12-03T07:57:13.704779_mlhnsw_graph_opt_v1_efc108_efs33/dynamic_struct/run_stdout_1.log,1
nothing,random_00,11,2025-12-03T07:57:13.704779,hnsw_graph_opt_v1,108,33,17,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_00_m2025-12-03T07:57:13.704779_mlhnsw_graph_opt_v1_efc108_efs33/nothing/run_stdout_1.log,1
baseline,random_01,12,2025-12-03T09:23:11.453998,efs_search,-1,29,7,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_01_m2025-12-03T09:23:11.453998_mlefs_search_efc-1_efs29/baseline/run_stdout_1.log,1
no_csr,random_01,12,2025-12-03T09:23:11.453998,efs_search,-1,29,7,1,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_01_m2025-12-03T09:23:11.453998_mlefs_search_efc-1_efs29/no_csr/run_stdout_1.log,1
no_prefetch,random_01,12,2025-12-03T09:23:11.453998,efs_search,-1,29,7,0,1,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_01_m2025-12-03T09:23:11.453998_mlefs_search_efc-1_efs29/no_prefetch/run_stdout_1.log,1
no_simd,random_01,12,2025-12-03T09:23:11.453998,efs_search,-1,29,7,0,0,1,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_01_m2025-12-03T09:23:11.453998_mlefs_search_efc-1_efs29/no_simd/run_stdout_1.log,1
no_pruning,random_01,12,2025-12-03T09:23:11.453998,efs_search,-1,29,7,0,0,0,1,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_01_m2025-12-03T09:23:11.453998_mlefs_search_efc-1_efs29/no_pruning/run_stdout_1.log,1
heap,random_01,12,2025-12-03T09:23:11.453998,efs_search,-1,29,7,0,0,0,0,1,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_01_m2025-12-03T09:23:11.453998_mlefs_search_efc-1_efs29/heap/run_stdout_1.log,1
dynamic_struct,random_01,12,2025-12-03T09:23:11.453998,efs_search,-1,29,7,0,0,0,0,0,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_01_m2025-12-03T09:23:11.453998_mlefs_search_efc-1_efs29/dynamic_struct/run_stdout_1.log,1
nothing,random_01,12,2025-12-03T09:23:11.453998,efs_search,-1,29,7,1,1,1,1,1,1,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_01_m2025-12-03T09:23:11.453998_mlefs_search_efc-1_efs29/nothing/run_stdout_1.log,1
baseline,random_02,13,2025-12-02T07:10:50.780799,hnsw_constrained_v4,28,44,19,0,0,0,0,0,0,,,,,,,,,results/ablation_uniform_random_20251203_131131/random_02_m2025-12-02T07:10:50.780799_mlhnsw_constrained_v4_efc28_efs44/baseline/run_stdout_1.log,1
