timestamp,trial_id,m,max_layer,efc,efs,K,avg_recall,avg_time_ms,build_time_ms,reward_score,status
2025-11-26T00:33:54.690583,43,41,16,967,433,0,0.98199,2.073616,1035092.791,482.4183654,COMPLETE
2025-11-26T04:21:33.225972,63,41,16,557,485,4,0.98047,2.078927,551318.2038,481.034371,COMPLETE
2025-11-27T05:29:31.160409,178,52,17,498,468,5,0.98037,2.10982,709616.8275,473.9810831,COMPLETE
2025-11-26T01:02:28.100877,45,63,16,705,473,1,0.98485,2.226246,762518.6998,449.6416577,COMPLETE
2025-11-26T02:30:29.478609,53,41,16,505,564,2,0.98372,2.314048,478337.4604,432.4851535,COMPLETE
2025-11-27T08:08:22.448856,188,50,10,828,456,8,0.9845,2.338655,1316739.015,428.0162038,COMPLETE
2025-11-28T00:38:00.581080,194,32,13,992,535,10,0.98169,2.339798,1319524.342,427.5263215,COMPLETE
2025-11-27T06:37:22.747570,183,51,10,656,508,6,0.98528,2.350059,1008196.597,426.0192316,COMPLETE
2025-11-27T05:41:46.637004,179,54,20,626,489,5,0.98452,2.355326,946160.3565,424.9916774,COMPLETE
2025-11-26T23:55:23.762156,153,37,20,472,579,23,0.98218,2.356196,639160.6673,424.6009096,COMPLETE
2025-11-26T15:14:19.953730,114,37,16,525,625,15,0.98511,2.361268,682844.8097,423.9822714,COMPLETE
2025-11-27T16:00:45.542491,4,,16,,,14,0.98523,2.370531,690134.9098,422.3394133,COMPLETE
2025-11-26T07:05:33.078071,81,40,16,758,503,7,0.98383,2.416189,824445.9165,414.227908,COMPLETE
2025-11-27T23:21:35.519755,190,58,18,543,506,10,0.98383,2.429388,814116.3034,411.9793026,COMPLETE
2025-11-28T15:22:48.781000,17,62,6,580,410,10,0.987,2.462,,409.7081272,COMPLETE
2025-11-27T11:30:07.406867,199,52,14,624,539,11,0.98645,2.466438,937539.3746,406.0579911,COMPLETE
2025-11-26T13:11:04.519881,105,42,16,537,541,13,0.98307,2.48908,527677.9458,402.0318653,COMPLETE
2025-11-26T23:44:05.753121,152,49,9,452,586,23,0.98459,2.501278,649684.4939,400.2246245,COMPLETE
2025-11-27T16:00:45.542516,8,,16,,,19,0.98496,2.503323,692739.9525,399.9350258,COMPLETE
2025-11-28T05:56:45.074995,214,49,20,696,495,10,0.9848,2.504005,1099231.221,399.8102249,COMPLETE
2025-11-27T14:10:45.707796,209,56,14,884,477,14,0.98669,2.511323,1433264.217,398.8354885,COMPLETE
2025-11-27T13:23:16.997254,207,52,15,981,476,13,0.98702,2.5205,1590818.048,397.4186772,COMPLETE
2025-11-28T02:35:18.151113,202,35,19,445,603,10,0.98167,2.546303,580438.3821,392.8632388,COMPLETE
2025-11-28T02:25:10.833646,201,37,20,468,603,10,0.9833,2.551277,628026.6124,392.260575,COMPLETE
2025-11-27T23:07:34.558367,189,40,14,926,534,10,0.98658,2.555137,1400885.267,391.9964472,COMPLETE
2025-11-28T06:37:50.759265,216,52,18,826,488,10,0.98615,2.582482,1352641.223,387.8093834,COMPLETE
2025-11-26T03:17:39.411674,57,31,16,469,704,3,0.98339,2.586261,386996.41,386.9675778,COMPLETE
2025-11-27T13:50:13.567880,208,48,14,778,537,13,0.98753,2.617473,1203588.746,382.7708759,COMPLETE
2025-11-26T04:10:33.161840,62,35,16,651,595,4,0.98449,2.633804,625587.6584,380.0979738,COMPLETE
2025-11-27T09:52:17.511914,194,54,11,743,532,9,0.98748,2.641151,1175995.54,379.340805,COMPLETE
